complaint_id,officer_id,po_race,po_sex,po_assigned_unit,allegations_investigated,investigative_findings,disciplinary_findings
15-0309,70765954,white,male,2600 26TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
15-0310,,,,,Lack of Service,No Sustained Findings,Not Applicable
15-0311,94487153,white,male,6003 HOMICIDE UNIT,Verbal Abuse,No Sustained Findings,Not Applicable
15-0311,11426736,black,male,6003 HOMICIDE UNIT,Verbal Abuse,No Sustained Findings,Not Applicable
15-0312,43197824,black,female,1900 19TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0312,63561670,black,male,1900 19TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0313,,,,,No C.A.P. Investigation,Not Applicable,Not Applicable
15-0314,27874643,black,male,4601 S.W.A.T.,Departmental Violation,No Sustained Findings,Not Applicable
15-0314,,,,,Departmental Violation,No Sustained Findings,Not Applicable
15-0315,26232873,white,male,5300 HIGHWAY PATROL,Departmental Violation,Sustained Finding,Training/Counseling
15-0315,26232873,white,male,5300 HIGHWAY PATROL,Verbal Abuse,No Sustained Findings,Not Applicable
15-0316,60290490,white,male,1500 15TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
15-0316,29441911,white,female,1500 15TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0316,,,,,Verbal Abuse,No Sustained Findings,Not Applicable
15-0317,91533891,white,male,2600 26TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0317,91533891,white,male,2600 26TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0317,,,,,Departmental Violation,No Sustained Findings,Not Applicable
