complaint_id,officer_id,po_race,po_sex,po_assigned_unit,allegations_investigated,investigative_findings,disciplinary_findings
15-0228,39732152,white,male,3900 39TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
15-0228,,,,,Physical Abuse,No Sustained Findings,Not Applicable
15-0228,,,,,Departmental Violation,No Sustained Findings,Not Applicable
15-0229,44911004,white,male,4923 RADIO ROOM,Unprofessional Conduct,Sustained Finding,Guilty Finding
15-0229,44911004,white,male,4923 RADIO ROOM,Lack of Service,Sustained Finding,Guilty Finding
15-0230,52291414,black,male,7403 NARC FIELD UNIT NOR,Criminal Allegation,No Sustained Findings,Not Applicable
15-0231,76622182,latino,male,2500 25TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0231,76622182,latino,male,2500 25TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0231,76622182,latino,male,2500 25TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
15-0231,76622182,latino,male,2500 25TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0231,76622182,latino,male,2500 25TH DISTRICT,Departmental Violation,Sustained Finding,Guilty Finding
15-0231,76622182,latino,male,2500 25TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0231,44679605,white,male,2500 25TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0231,44679605,white,male,2500 25TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0231,44679605,white,male,2500 25TH DISTRICT,Departmental Violation,Sustained Finding,Guilty Finding
15-0231,44679605,white,male,2500 25TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0231,44679605,white,male,2500 25TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0231,44679605,white,male,2500 25TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
15-0232,43082467,white,male,3500 35TH DISTRICT,Departmental Violation,Sustained Finding,No Guilty Findings
15-0232,43082467,white,male,3500 35TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0232,16227247,white,male,3500 35TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0232,16227247,white,male,3500 35TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0233,97827684,white,male,0300 03RD DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0233,84107477,white,male,0300 03RD DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0234,73464815,white,male,0600 06TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0235,28218995,white,male,1200 12TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0235,28218995,white,male,1200 12TH DISTRICT,Criminal Allegation,No Sustained Findings,Not Applicable
15-0236,95329152,latino,male,1500 15TH DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
15-0236,95329152,latino,male,1500 15TH DISTRICT,Unprofessional Conduct,Sustained Finding,Training/Counseling
15-0236,14761430,black,male,1500 15TH DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
15-0236,43894426,white,male,1500 15TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0236,14761430,black,male,1500 15TH DISTRICT,Unprofessional Conduct,Sustained Finding,Training/Counseling
15-0237,71529504,white,female,1500 15TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
15-0237,71529504,white,female,1500 15TH DISTRICT,Criminal Allegation,No Sustained Findings,Not Applicable
15-0238,35389978,white,male,3500 35TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
